r_sub,sw_contrast,NILS_no_peb,NILS_peb
0.0,0.0,2.6326650351991816,1.8998697708260286
0.05,0.09975062344139651,2.6615948785255705,1.9300322915529602
0.11875,0.2341974500211856,2.6945403167010036,1.9648388521236968
0.1875,0.3622641509433962,2.7211407092421096,1.9933080501783582
0.25625,0.48092078736116706,2.7427310259944484,2.0166656531004215
0.32499999999999996,0.5879027699265121,2.7603329996024644,2.0358837384276116
0.39374999999999993,0.6817951232709931,2.4645083785540294,2.051734980770327
0.46249999999999997,0.7620028317672802,2.4788322638096747,1.8966494949739139
0.53125,0.8286367098248286,2.4906380857567916,1.9083068969231665
0.6,0.8823529411764707,2.500380542144889,1.9179839796369218
