wavelength_nm,R_clear_pct,R_TaBN_pct,R_Ni_pct,R_Cr_pct,R_RuMo_pct
13.5452,63.7948,0.9365,2.2315,2.7579,1.6785
13.5553,63.4788,0.9357,2.2075,2.8213,1.7508
13.5653,63.0799,0.9391,2.1868,2.8845,1.8277
13.5754,62.5860,0.9462,2.1692,2.9461,1.9086
13.5854,61.9823,0.9567,2.1541,3.0044,1.9923
13.5955,61.2520,0.9704,2.1409,3.0577,2.0777
13.6055,60.3751,0.9864,2.1286,3.1038,2.1631
13.6156,59.3286,1.0043,2.1162,3.1404,2.2468
13.6256,58.0861,1.0229,2.1023,3.1647,2.3266
13.6357,56.6177,1.0412,2.0852,3.1739,2.3999
13.6457,54.8906,1.0578,2.0631,3.1645,2.4635
13.6558,52.8701,1.0710,2.0335,3.1329,2.5138
13.6658,50.5213,1.0790,1.9938,3.0756,2.5468
13.6759,47.8132,1.0795,1.9412,2.9889,2.5580
13.6859,44.7235,1.0702,1.8729,2.8698,2.5427
13.6960,41.2466,1.0490,1.7862,2.7164,2.4966
13.7060,37.4040,1.0137,1.6793,2.5286,2.4163
13.7161,33.2549,0.9631,1.5516,2.3093,2.2999
13.7261,28.9061,0.8972,1.4046,2.0648,2.1485
13.7362,24.5154,0.8176,1.2426,1.8056,1.9667
13.7462,20.2850,0.7280,1.0724,1.5459,1.7632
13.7563,16.4392,0.6341,0.9037,1.3024,1.5508
13.7663,13.1901,0.5426,0.7473,1.0915,1.3444
13.7764,10.6995,0.4611,0.6141,0.9269,1.1594
13.7864,9.0487,0.3958,0.5123,0.8167,1.0091
13.7965,8.2279,0.3512,0.4472,0.7625,0.9024
13.8065,8.1474,0.3293,0.4198,0.7598,0.8432
13.8166,8.6639,0.3298,0.4276,0.7994,0.8303
13.8266,9.6112,0.3502,0.4657,0.8699,0.8587
13.8367,10.8262,0.3871,0.5275,0.9594,0.9210
13.8467,12.1656,0.4363,0.6064,1.0572,1.0088
13.8568,13.5139,0.4939,0.6958,1.1540,1.1136
13.8668,14.7836,0.5559,0.7901,1.2428,1.2278
13.8769,15.9129,0.6190,0.8844,1.3185,1.3445
13.8869,16.8605,0.6805,0.9747,1.3775,1.4581
13.8970,17.6010,0.7378,1.0577,1.4176,1.5640
13.9070,18.1211,0.7892,1.1310,1.4379,1.6585
13.9171,18.4161,0.8330,1.1924,1.4382,1.7387
13.9271,18.4874,0.8681,1.2406,1.4189,1.8023
13.9372,18.3415,0.8935,1.2744,1.3813,1.8478
13.9472,17.9887,0.9087,1.2932,1.3268,1.8742
13.9573,17.4425,0.9134,1.2965,1.2574,1.8810
13.9673,16.7199,0.9075,1.2844,1.1754,1.8682
13.9774,15.8412,0.8914,1.2575,1.0835,1.8365
13.9874,14.8297,0.8656,1.2166,0.9845,1.7870
13.9975,13.7124,0.8312,1.1631,0.8815,1.7213
14.0075,12.5193,0.7894,1.0989,0.7776,1.6419
14.0176,11.2831,0.7417,1.0261,0.6760,1.5514
14.0276,10.0388,0.6901,0.9475,0.5796,1.4533
14.0377,8.8221,0.6366,0.8660,0.4912,1.3512
14.0477,7.6683,0.5834,0.7847,0.4131,1.2489
14.0578,6.6109,0.5327,0.7070,0.3471,1.1505
14.0678,5.6793,0.4866,0.6359,0.2943,1.0596
14.0779,4.8978,0.4469,0.5741,0.2551,0.9798
14.0879,4.2839,0.4151,0.5239,0.2294,0.9138
14.0980,3.8476,0.3923,0.4870,0.2163,0.8639
14.1080,3.5908,0.3790,0.4643,0.2142,0.8314
14.1181,3.5081,0.3753,0.4560,0.2214,0.8166
14.1281,3.5870,0.3807,0.4617,0.2357,0.8192
14.1382,3.8096,0.3943,0.4802,0.2548,0.8380
14.1482,4.1535,0.4150,0.5097,0.2765,0.8712
14.1583,4.5940,0.4412,0.5484,0.2987,0.9163
14.1683,5.1051,0.4714,0.5938,0.3197,0.9707
14.1784,5.6607,0.5037,0.6435,0.3379,1.0315
14.1884,6.2362,0.5366,0.6951,0.3522,1.0957
14.1985,6.8085,0.5685,0.7463,0.3619,1.1605
14.2085,7.3572,0.5980,0.7949,0.3665,1.2232
14.2186,7.8647,0.6239,0.8391,0.3658,1.2815
14.2286,8.3158,0.6451,0.8772,0.3600,1.3331
14.2387,8.6987,0.6609,0.9080,0.3495,1.3765
14.2487,9.0040,0.6707,0.9305,0.3348,1.4102
14.2588,9.2251,0.6742,0.9440,0.3166,1.4331
14.2688,9.3577,0.6713,0.9481,0.2956,1.4448
14.2789,9.4000,0.6621,0.9428,0.2724,1.4448
14.2889,9.3522,0.6469,0.9283,0.2480,1.4334
14.2990,9.2167,0.6260,0.9050,0.2230,1.4108
14.3090,8.9977,0.6003,0.8737,0.1981,1.3778
14.3191,8.7014,0.5703,0.8353,0.1739,1.3354
14.3291,8.3354,0.5370,0.7908,0.1508,1.2849
14.3392,7.9090,0.5013,0.7417,0.1294,1.2277
14.3492,7.4329,0.4642,0.6892,0.1098,1.1656
14.3593,6.9190,0.4268,0.6348,0.0922,1.1003
14.3693,6.3800,0.3900,0.5801,0.0767,1.0337
14.3794,5.8295,0.3549,0.5265,0.0633,0.9677
14.3894,5.2811,0.3223,0.4755,0.0518,0.9043
14.3995,4.7485,0.2930,0.4284,0.0422,0.8451
14.4095,4.2449,0.2677,0.3862,0.0341,0.7918
14.4196,3.7823,0.2468,0.3500,0.0274,0.7457
14.4296,3.3717,0.2307,0.3205,0.0219,0.7080
14.4397,3.0220,0.2193,0.2979,0.0173,0.6793
14.4497,2.7404,0.2128,0.2826,0.0135,0.6602
14.4598,2.5316,0.2106,0.2743,0.0104,0.6508
14.4698,2.3979,0.2125,0.2726,0.0080,0.6506
14.4799,2.3393,0.2178,0.2770,0.0062,0.6591
14.4899,2.3534,0.2258,0.2865,0.0053,0.6754
14.5000,2.4357,0.2358,0.3001,0.0052,0.6983
