config,NA,obscuration,anamorphic,HP_nm,d_abbe_nm,k1,NILS_pred,DOF_pred_nm,EL_pred_pct,shadow_wafer_nm,vec_penalty_pct,theta_max_deg
EXE5000,0.55,0.13,4×/8×,8.0,12.272727272727272,0.32592592592592595,2.152,43.75295261534164,40.0,1.576563528985147,7.562500000000001,33.36701296923175
EXE5200_A,0.6,0.12,4×/8×,7.0,11.25,0.3111111111111111,2.3476363636363637,42.8570448981831,38.297084310253524,1.576563528985147,9.0,36.86989764584402
EXE5200_B,0.65,0.11,4×/8×,6.5,10.384615384615385,0.312962962962963,2.543272727272727,40.79747334901277,36.794648440311995,1.576563528985147,10.562500000000002,40.541601873504526
HyperNA70,0.7,0.1,8×/16×,6.0,9.642857142857144,0.31111111111111106,2.7389090909090905,38.265199830227246,35.456210417116736,0.7882817644925735,12.249999999999998,44.4270040008057
HyperNA75,0.75,0.1,8×/16×,5.5,9.0,0.3055555555555556,2.9345454545454546,36.629924817079306,34.25395354310701,0.7882817644925735,14.0625,48.590377890729144
