x_nm,I_conv_V,I_hina_V,I_hina_H
104,1,0.478967,0.478967
104.5,0.995424,0.38733,0.38733
105,0.986318,0.30101,0.30101
105.5,0.972767,0.223324,0.223324
106,0.954904,0.157257,0.157257
106.5,0.932899,0.105349,0.105349
107,0.906965,0.0695942,0.0695942
107.5,0.877352,0.0513665,0.0513665
108,0.844345,0.0513665,0.0513665
108.5,0.808261,0.0695942,0.0695942
109,0.769448,0.105349,0.105349
109.5,0.72828,0.157257,0.157257
110,0.685154,0.223324,0.223324
110.5,0.640484,0.30101,0.30101
111,0.594702,0.38733,0.38733
111.5,0.548247,0.478967,0.478967
112,0.501567,0.572399,0.572399
112.5,0.455112,0.664036,0.664036
113,0.40933,0.750357,0.750357
113.5,0.36466,0.828043,0.828043
114,0.321534,0.894109,0.894109
114.5,0.280366,0.946017,0.946017
115,0.241553,0.981772,0.981772
115.5,0.205469,1,1
116,0.172462,1,1
116.5,0.142849,0.981772,0.981772
117,0.116915,0.946017,0.946017
117.5,0.0949102,0.894109,0.894109
118,0.0770467,0.828043,0.828043
118.5,0.0634963,0.750356,0.750356
119,0.0543895,0.664036,0.664036
119.5,0.0498142,0.572399,0.572399
120,0.0498142,0.478967,0.478967
120.5,0.0543896,0.38733,0.38733
121,0.0634963,0.30101,0.30101
121.5,0.0770467,0.223324,0.223324
122,0.0949102,0.157257,0.157257
122.5,0.116915,0.105349,0.105349
123,0.142849,0.0695942,0.0695942
123.5,0.172462,0.0513665,0.0513665
124,0.205469,0.0513665,0.0513665
124.5,0.241553,0.0695942,0.0695942
125,0.280366,0.105349,0.105349
125.5,0.321534,0.157257,0.157257
126,0.36466,0.223324,0.223324
126.5,0.40933,0.30101,0.30101
127,0.455112,0.38733,0.38733
127.5,0.501567,0.478967,0.478967
